Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,154,154,155,205,255,278,335,345
Expenses+,137,137,137,182,226,239,290,298
Operating Profit,17,17,19,22,29,39,45,47
OPM %,11%,11%,12%,11%,11%,14%,13%,14%
Other Income+,2,3,4,5,6,9,9,13
Interest,2,2,2,1,2,2,2,2
Depreciation,3,3,4,4,4,5,5,6
Profit before tax,13,14,17,22,29,41,47,52
Tax %,27%,27%,31%,22%,23%,25%,23%,
Net Profit+,9,11,12,17,22,31,36,41
EPS in Rs,25.39,29.81,31.36,45.54,59.29,10.94,9.59,11.64
Dividend Payout %,0%,0%,13%,9%,7%,5%,16%,
