Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,259,275,290,324,378,462,487,431,699,805,934,"1,087","1,104"
Expenses+,196,207,235,252,299,379,404,342,577,667,755,952,976
Operating Profit,63,68,56,71,79,83,83,89,122,138,179,135,129
OPM %,24%,25%,19%,22%,21%,18%,17%,21%,17%,17%,19%,12%,12%
Other Income+,2,2,2,7,10,9,17,8,8,22,19,28,25
Interest,2,5,10,11,12,9,7,5,8,11,18,41,40
Depreciation,11,21,11,17,23,33,36,37,43,48,52,66,66
Profit before tax,52,43,36,50,54,50,57,55,79,102,128,56,48
Tax %,28%,43%,-1%,43%,27%,37%,51%,23%,32%,34%,35%,97%,
Net Profit+,38,25,36,29,39,32,28,42,54,68,84,2,-5
EPS in Rs,11.17,7.36,4.30,3.40,3.65,2.93,2.55,3.93,5.01,6.27,7.78,0.58,-0.05
Dividend Payout %,0%,0%,0%,0%,0%,17%,20%,25%,20%,19%,15%,0%,
