Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,14,46,231,279,336,241,293,298
Expenses+,12,37,189,229,279,197,260,266
Operating Profit,2,8,43,51,57,45,32,31
OPM %,11%,18%,18%,18%,17%,18%,11%,11%
Other Income+,1,1,2,5,3,-38,2,-4
Interest,0,0,0,1,1,3,4,4
Depreciation,0,0,0,1,2,2,2,2
Profit before tax,2,9,44,55,57,2,29,22
Tax %,19%,31%,14%,13%,19%,219%,13%,
Net Profit+,2,6,38,48,46,-2,25,19
EPS in Rs,1.30,1.22,7.63,9.53,9.03,-0.44,4.54,3.42
Dividend Payout %,0%,0%,0%,1%,0%,0%,0%,
