Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,775,846,994,"1,061","1,156","1,187","1,225","1,292","1,564","1,563","1,530","1,559","1,625"
Expenses+,712,786,903,934,"1,017","1,099","1,107","1,156","1,444","1,635","1,480","1,487","1,547"
Operating Profit,63,60,91,127,139,88,118,136,120,-73,50,72,77
OPM %,8%,7%,9%,12%,12%,7%,10%,11%,8%,-5%,3%,5%,5%
Other Income+,1,1,1,5,8,9,10,5,50,21,13,13,14
Interest,21,23,29,41,39,37,40,35,26,27,31,26,29
Depreciation,22,19,28,24,25,27,31,29,30,34,47,51,53
Profit before tax,22,19,35,67,83,33,57,77,114,-112,-15,8,9
Tax %,39%,30%,32%,28%,31%,30%,19%,25%,19%,-23%,33%,-165%,
Net Profit+,12,15,26,49,57,23,46,58,92,-87,-20,21,19
EPS in Rs,1.45,1.77,2.91,4.05,4.74,1.88,3.79,4.52,7.26,-5.74,-0.97,1.87,1.57
Dividend Payout %,0%,0%,0%,9%,7%,9%,5%,3%,4%,0%,0%,0%,
