Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,611","2,827","2,219","1,956","2,977","3,382","3,288","4,026","4,255"
Expenses+,"1,561","2,745","2,142","1,842","2,800","3,144","3,069","3,803","4,021"
Operating Profit,51,82,77,114,176,238,219,222,234
OPM %,3%,3%,3%,6%,6%,7%,7%,6%,6%
Other Income+,4,7,6,6,11,4,5,8,13
Interest,17,53,45,38,35,51,53,74,79
Depreciation,13,53,63,62,70,87,101,131,138
Profit before tax,25,-18,-25,20,82,104,70,25,30
Tax %,30%,39%,17%,44%,20%,18%,18%,31%,
Net Profit+,18,-24,-29,11,66,85,57,17,21
EPS in Rs,22.33,-31.92,-15.69,6.19,17.88,21.32,13.56,3.85,4.76
Dividend Payout %,3%,0%,0%,0%,0%,11%,11%,13%,
