Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,252","1,271","1,649","1,851","1,602","1,426","1,751","2,320","2,637","3,400","3,742"
Expenses+,"1,164","1,170","1,515","1,698","1,443","1,326","1,616","2,112","2,405","3,120","3,422"
Operating Profit,89,101,135,154,158,100,135,208,231,280,320
OPM %,7%,8%,8%,8%,10%,7%,8%,9%,9%,8%,9%
Other Income+,4,17,19,57,19,27,3,51,70,84,74
Interest,13,11,8,16,22,29,22,30,49,73,74
Depreciation,38,41,48,60,64,65,64,80,93,113,129
Profit before tax,41,65,98,134,92,33,53,149,159,178,190
Tax %,10%,16%,27%,23%,22%,45%,23%,31%,30%,21%,
Net Profit+,52,54,71,104,72,18,41,103,111,140,149
EPS in Rs,55.66,58.16,76.34,111.03,76.92,19.42,43.56,110.27,118.77,149.67,159.71
Dividend Payout %,22%,25%,30%,32%,31%,36%,31%,24%,29%,23%,
