Metric,Mar 2011,Mar 2012,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,700,751,927,"1,042","1,155","1,140",863,"1,737","2,255","2,700","2,809","2,837","2,907"
Expenses+,645,687,841,912,"1,010",994,767,"1,607","2,039","2,418","2,448","2,440","2,508"
Operating Profit,55,65,87,130,145,145,96,129,216,282,361,396,399
OPM %,8%,9%,9%,12%,13%,13%,11%,7%,10%,10%,13%,14%,14%
Other Income+,5,5,19,4,16,21,24,21,29,45,93,86,112
Interest,8,9,12,8,2,0,1,1,1,2,2,4,5
Depreciation,24,31,44,50,44,41,40,44,41,46,53,58,59
Profit before tax,28,29,50,76,116,125,78,105,203,278,399,420,448
Tax %,22%,9%,-1%,27%,33%,31%,26%,25%,26%,25%,25%,25%,
Net Profit+,24,28,33,61,88,95,52,67,149,208,300,315,338
EPS in Rs,4.08,4.79,5.93,10.24,14.78,15.91,8.81,11.20,25.08,35.01,50.35,54.86,58.88
Dividend Payout %,25%,21%,11%,12%,8%,0%,0%,2%,16%,25%,10%,30%,
