Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.52,0.91,0.96
Expenses+,0.01,0.02,0.02,0.12,0.20,9.13,15.95,9.83,13.78,10.90,11.20
Operating Profit,-0.01,-0.02,-0.02,-0.12,-0.20,-9.13,-15.95,-7.83,-13.26,-9.99,-10.24
OPM %,,,,,,,,-391.50%,"-2,550.00%","-1,097.80%","-1,066.67%"
Other Income+,0.06,0.06,0.04,0.02,0.10,0.37,3.16,6.53,7.45,6.92,5.47
Interest,0.05,0.05,0.05,0.05,0.24,1.32,5.84,6.69,6.44,6.09,6.48
Depreciation,0.00,0.00,0.00,0.00,0.68,0.00,0.01,0.02,0.02,0.12,0.16
Profit before tax,0.00,-0.01,-0.03,-0.15,-1.02,-10.08,-18.64,-8.01,-12.27,-9.28,-11.41
Tax %,,0.00%,0.00%,-13.33%,-25.49%,-26.09%,-20.28%,-19.23%,-19.97%,-18.97%,
Net Profit+,0.00,-0.01,-0.03,-0.13,-0.76,-7.45,-14.86,-6.47,-9.82,-7.52,-9.64
EPS in Rs,,,,,-0.03,-0.26,-0.52,-0.23,-0.34,-0.26,-0.34
Dividend Payout %,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
