Metric,Dec 2013,Dec 2014,Mar 201615m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,36,31,51,27,27,33,48,51,74,74,74,69,102
Expenses+,29,25,35,25,25,32,38,42,51,49,52,70,103
Operating Profit,7,5,16,2,2,0,11,8,23,25,21,-1,-1
OPM %,19%,17%,30%,8%,8%,1%,22%,17%,31%,34%,29%,-2%,-1%
Other Income+,1,2,4,3,3,4,2,2,1,4,5,6,7
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,1,1,1,1,2,3,3,3,3,1,1,2,2
Profit before tax,7,6,18,4,3,2,10,8,21,27,25,3,4
Tax %,31%,29%,33%,33%,45%,13%,22%,25%,26%,25%,25%,38%,
Net Profit+,5,4,12,3,2,2,8,6,15,20,19,2,3
EPS in Rs,9.00,8.01,22.57,5.61,3.18,3.00,15.31,10.64,29.10,38.20,35.81,3.18,4.99
Dividend Payout %,44%,19%,18%,36%,31%,0%,0%,9%,3%,5%,6%,0%,
