Metric,Sep 2013,Sep 2014,Sep 2015,Mar 20166m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales+,197,238,519,301,336,401,448,535,370,513,759,969,871
Expenses+,89,92,145,93,85,99,117,238,142,193,261,389,245
Operating Profit,109,146,373,209,251,301,331,297,229,320,498,581,626
OPM %,55%,61%,72%,69%,75%,75%,74%,55%,62%,62%,66%,60%,72%
Other Income+,10,8,6,15,8,11,6,4,23,21,17,19,23
Interest,203,240,231,194,222,208,205,214,215,183,183,142,122
Depreciation,21,24,28,23,60,63,52,53,57,55,58,66,71
Profit before tax,-105,-110,120,6,-23,41,80,34,-20,103,274,392,456
Tax %,4%,1%,-0%,48%,25%,13%,9%,19%,10%,10%,6%,23%,
Net Profit+,-109,-111,121,3,-29,36,72,27,-22,93,257,304,334
EPS in Rs,-12.84,-13.81,16.31,0.81,0.88,6.38,10.19,5.23,-0.66,13.48,33.00,39.09,39.29
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
