Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,55,60,62,80,135,170,155,169,175
Expenses+,49,55,56,68,110,135,134,151,162
Operating Profit,6,5,5,11,26,35,20,18,13
OPM %,10%,8%,9%,14%,19%,21%,13%,10%,8%
Other Income+,1,1,1,3,1,1,2,1,1
Interest,0,1,1,1,2,4,5,7,7
Depreciation,4,3,4,4,5,7,9,9,11
Profit before tax,2,2,1,9,19,25,8,3,-4
Tax %,34%,7%,38%,24%,28%,26%,31%,78%,
Net Profit+,1,2,1,7,14,18,6,1,-6
EPS in Rs,1.19,2.06,0.92,7.43,14.96,20.02,5.95,0.60,-5.39
Dividend Payout %,56%,32%,43%,9%,5%,5%,0%,0%,
