Metric,Mar 201418m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,991","2,783","2,132","1,818","1,869","1,239",562,333,308,177,259,321,277
Expenses+,"3,835","2,584","2,336","1,668","1,712","1,327",556,554,526,301,428,394,372
Operating Profit,156,199,-204,150,157,-88,6,-221,-218,-124,-169,-73,-95
OPM %,4%,7%,-10%,8%,8%,-7%,1%,-67%,-71%,-70%,-65%,-23%,-34%
Other Income+,157,116,134,196,277,"-1,618",-354,-3,-108,33,112,79,94
Interest,334,273,308,349,409,290,26,43,46,23,13,4,3
Depreciation,114,64,56,48,45,37,32,19,14,10,7,7,7
Profit before tax,-136,-22,-435,-52,-21,"-2,033",-406,-286,-386,-124,-78,-5,-11
Tax %,3%,4%,0%,1%,-18%,1%,0%,0%,0%,0%,0%,0%,
Net Profit+,-140,-23,-437,-46,15,"-2,043",-405,-285,-386,-124,-77,-5,-11
EPS in Rs,-16.15,-0.97,-26.89,-3.53,0.88,-155.79,-30.89,-21.74,-29.45,-9.46,-5.91,-0.37,-0.86
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
