Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,185,238,275,253,165,154,199,202,272,417,477
Expenses+,167,208,255,230,170,147,178,176,213,359,414
Operating Profit,18,30,20,23,-5,6,21,26,58,58,63
OPM %,10%,12%,7%,9%,-3%,4%,11%,13%,22%,14%,13%
Other Income+,-2,1,2,3,1,-8,3,2,4,2,4
Interest,4,4,5,6,6,7,7,9,10,11,9
Depreciation,3,4,4,4,5,6,10,10,12,11,12
Profit before tax,8,23,13,16,-15,-15,7,9,41,38,46
Tax %,32%,31%,37%,29%,-33%,-28%,25%,25%,30%,24%,
Net Profit+,6,16,8,11,-10,-11,5,7,28,29,37
EPS in Rs,1.28,3.55,1.53,2.11,-1.85,-2.03,0.99,1.28,5.27,5.34,6.84
Dividend Payout %,31%,17%,33%,26%,0%,0%,30%,26%,9%,2%,
