Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,2,3,1,3,4,14,117,262,241
Expenses+,3,2,2,2,3,5,68,257,248
Operating Profit,-0,1,-1,1,2,9,48,5,-6
OPM %,-15%,22%,-78%,35%,38%,62%,41%,2%,-3%
Other Income+,0,0,0,0,0,16,2,4,7
Interest,0,0,0,0,0,0,1,1,1
Depreciation,0,0,0,0,0,0,2,3,3
Profit before tax,-0,0,-1,1,2,24,47,5,-3
Tax %,10%,20%,1%,4%,3%,9%,22%,64%,
Net Profit+,-1,0,-2,1,4,22,37,2,-4
EPS in Rs,-0.58,0.20,-1.27,0.36,1.59,9.83,12.40,0.58,-1.31
Dividend Payout %,0%,0%,0%,0%,0%,2%,1%,55%,
