Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,31.67,35.54,32.40,30.81,29.12,28.04,10.20,9.36,9.89,12.03,21.33,22.87,8.37
Expenses+,29.56,32.65,29.70,28.27,26.71,34.24,17.04,14.81,13.29,11.26,18.73,20.11,7.72
Operating Profit,2.11,2.89,2.70,2.54,2.41,-6.20,-6.84,-5.45,-3.40,0.77,2.60,2.76,0.65
OPM %,6.66%,8.13%,8.33%,8.24%,8.28%,-22.11%,-67.06%,-58.23%,-34.38%,6.40%,12.19%,12.07%,7.77%
Other Income+,0.33,-0.03,0.13,0.15,0.18,0.14,-0.10,0.00,1.28,0.01,0.04,0.01,0.01
Interest,1.13,1.09,1.28,1.09,1.13,1.20,1.25,1.52,1.96,2.43,3.06,2.43,2.34
Depreciation,0.62,0.64,0.63,0.51,0.59,0.51,0.56,0.48,0.26,0.07,0.06,0.05,0.04
Profit before tax,0.69,1.13,0.92,1.09,0.87,-7.77,-8.75,-7.45,-4.34,-1.72,-0.48,0.29,-1.72
Tax %,-18.84%,1.77%,5.43%,5.50%,13.79%,2.57%,0.46%,-0.67%,0.23%,-1.74%,-6.25%,-13.79%,
Net Profit+,0.81,1.11,0.88,1.02,0.75,-7.97,-8.79,-7.39,-4.34,-1.69,-0.45,0.33,-1.70
EPS in Rs,0.15,0.20,0.16,0.19,0.14,-1.47,-1.62,-1.36,-0.80,-0.31,-0.08,0.06,-0.31
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
