Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,705","1,578","1,521","1,654","2,072","2,057","2,921","3,684","3,607"
Expenses+,652,589,698,715,915,766,"1,216","1,292","1,442"
Operating Profit,"1,053",990,823,939,"1,157","1,291","1,705","2,391","2,165"
OPM %,62%,63%,54%,57%,56%,63%,58%,65%,60%
Other Income+,10,1,6,2,6,5,4,-87,337
Interest,559,431,502,414,370,399,643,887,923
Depreciation,14,22,41,43,42,46,57,71,108
Profit before tax,490,538,286,485,751,850,"1,009","1,347","1,470"
Tax %,22%,30%,30%,24%,23%,23%,20%,25%,
Net Profit+,380,375,201,369,578,658,804,"1,015","1,126"
EPS in Rs,,,5.77,10.50,16.28,18.48,22.41,25.83,28.30
Dividend Payout %,19%,23%,87%,167%,84%,373%,74%,23%,
