Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,251,253,213,237,199,171,177,179,224,163,154,123,113
Expenses+,216,224,193,207,186,148,159,155,194,144,123,116,106
Operating Profit,34,29,20,29,13,24,19,24,30,19,31,6,7
OPM %,14%,11%,9%,12%,6%,14%,10%,13%,13%,12%,20%,5%,6%
Other Income+,5,5,1,1,1,2,3,1,1,1,0,10,9
Interest,5,6,5,5,4,5,6,5,8,13,16,13,13
Depreciation,5,9,9,9,9,8,11,11,13,13,12,10,10
Profit before tax,28,19,7,16,1,13,5,8,11,-6,3,-7,-7
Tax %,26%,12%,14%,23%,9%,22%,30%,24%,17%,-2%,61%,-6%,
Net Profit+,21,17,6,13,1,10,4,6,9,-6,1,-6,-7
EPS in Rs,13.78,10.91,3.83,8.25,0.76,6.35,2.36,3.95,5.82,-3.78,0.86,-4.20,-4.66
Dividend Payout %,7%,9%,26%,12%,0%,16%,0%,0%,0%,0%,0%,0%,
