Metric,Dec 2013,Dec 2014,Dec 2015,Mar 201715m,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,243,287,279,307,186,184,182,196,174,174,174,185,199
Expenses+,226,286,252,298,160,141,134,140,121,125,128,132,134
Operating Profit,17,1,28,9,26,43,48,55,53,50,47,53,65
OPM %,7%,0%,10%,3%,14%,23%,26%,28%,31%,28%,27%,29%,33%
Other Income+,27,36,15,14,16,15,13,16,9,11,22,17,15
Interest,1,1,0,0,0,0,0,0,0,0,2,6,6
Depreciation,5,5,4,3,1,0,1,1,1,1,1,0,0
Profit before tax,39,32,39,20,41,57,59,70,61,60,66,63,74
Tax %,22%,21%,24%,8%,22%,18%,8%,10%,14%,25%,79%,22%,
Net Profit+,30,25,29,18,32,47,55,62,53,45,14,50,59
EPS in Rs,2.72,2.25,2.62,1.64,2.84,4.19,4.91,5.60,4.72,4.03,1.23,4.45,5.32
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"2,765%",45%,
