Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,70,118,150,104,99,108,75,70,80,163,198,215,226
Expenses+,573,153,176,108,97,105,81,60,70,158,195,216,223
Operating Profit,-503,-34,-26,-4,2,3,-6,11,10,5,3,-1,3
OPM %,-724%,-29%,-17%,-4%,2%,2%,-7%,15%,12%,3%,1%,-1%,1%
Other Income+,975,36,23,2,0,1,-4,2,1,22,12,12,11
Interest,0,0,0,0,0,1,3,1,1,2,2,2,1
Depreciation,4,4,4,2,2,2,3,3,2,3,3,4,4
Profit before tax,468,-2,-6,-5,0,1,-15,9,7,23,9,5,10
Tax %,22%,-2%,-66%,103%,"1,373%",368%,-3%,-13%,-40%,15%,19%,-24%,
Net Profit+,367,-2,-2,-10,-3,-2,-14,10,10,19,7,7,10
EPS in Rs,122.17,-0.66,-0.67,-4.31,-1.43,-1.37,-10.51,7.80,10.42,19.29,7.08,6.63,10.45
Dividend Payout %,26%,-305%,-300%,-46%,-140%,0%,0%,0%,0%,0%,0%,0%,
