Metric,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,966,"1,281","1,536","1,176",892,"1,017","1,177","1,685","1,731","1,343"
Expenses+,821,"1,098","1,386","1,093",849,945,"1,125","1,538","1,956","1,695"
Operating Profit,146,183,150,83,43,71,51,147,-225,-352
OPM %,15%,14%,10%,7%,5%,7%,4%,9%,-13%,-26%
Other Income+,18,15,26,35,82,62,158,150,568,582
Interest,60,92,145,140,155,170,161,152,121,99
Depreciation,29,30,51,46,36,28,31,68,55,45
Profit before tax,75,75,-21,-67,-67,-64,17,77,166,87
Tax %,52%,54%,165%,48%,23%,10%,121%,8%,27%,
Net Profit+,39,33,-54,-99,-82,-70,-3,71,122,69
EPS in Rs,0.27,0.29,-0.35,-0.64,-0.16,-0.13,0.00,0.37,0.17,0.45
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,
