Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,180,193,226,216,170,271,313,349,363
Expenses+,158,168,200,192,150,241,277,309,321
Operating Profit,22,24,26,24,20,30,36,41,42
OPM %,12%,13%,11%,11%,12%,11%,12%,12%,12%
Other Income+,0,0,0,1,1,1,0,0,0
Interest,4,5,6,6,6,5,5,5,5
Depreciation,3,3,4,4,4,5,6,5,6
Profit before tax,15,16,16,15,11,20,25,30,31
Tax %,23%,26%,28%,28%,28%,22%,22%,22%,
Net Profit+,11,12,11,11,8,16,20,24,25
EPS in Rs,1.45,1.56,1.47,1.38,1.03,2.06,2.54,3.02,3.16
Dividend Payout %,21%,22%,24%,25%,34%,29%,31%,33%,
