Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,263,265,283,323,365,417,421,323,438,526,628,795,847
Expenses+,237,238,254,290,330,378,379,289,400,487,586,745,795
Operating Profit,26,27,29,33,36,39,42,35,38,40,41,49,53
OPM %,10%,10%,10%,10%,10%,9%,10%,11%,9%,8%,7%,6%,6%
Other Income+,2,2,2,2,1,2,1,1,1,1,5,4,3
Interest,20,20,21,22,23,24,26,23,24,23,25,25,25
Depreciation,5,5,5,5,5,6,7,7,7,8,8,8,9
Profit before tax,3,4,5,8,9,11,11,6,9,10,14,20,21
Tax %,32%,29%,36%,34%,32%,35%,2%,30%,26%,26%,27%,25%,
Net Profit+,2,3,3,5,6,7,11,4,6,7,10,15,16
EPS in Rs,1.78,2.36,2.41,4.00,4.84,5.69,8.25,3.37,4.93,5.58,7.79,11.35,12.11
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,13%,9%,
