Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,32.83,32.34,33.81,35.28,44.40,44.07,44.27,66.62,85.59,64.51,56.59,58.55
Expenses+,33.30,30.24,30.20,30.49,40.65,40.55,39.71,61.63,80.42,57.41,52.35,54.35
Operating Profit,-0.47,2.10,3.61,4.79,3.75,3.52,4.56,4.99,5.17,7.10,4.24,4.20
OPM %,-1.43%,6.49%,10.68%,13.58%,8.45%,7.99%,10.30%,7.49%,6.04%,11.01%,7.49%,7.17%
Other Income+,2.03,0.09,0.35,0.98,0.57,1.00,2.15,1.37,1.19,1.68,1.89,1.98
Interest,0.79,0.68,0.67,0.52,0.23,0.09,0.08,0.02,0.05,0.08,0.08,0.12
Depreciation,0.27,0.21,0.18,0.14,0.13,0.14,0.18,0.25,0.29,0.35,0.82,0.84
Profit before tax,0.50,1.30,3.11,5.11,3.96,4.29,6.45,6.09,6.02,8.35,5.23,5.22
Tax %,32.00%,34.62%,32.80%,22.31%,28.03%,33.33%,25.89%,30.05%,27.74%,25.39%,26.58%,
Net Profit+,0.34,0.85,2.09,3.98,2.82,2.84,4.77,4.26,4.36,6.23,3.83,3.85
EPS in Rs,0.45,1.12,2.76,0.78,0.55,0.55,0.92,0.83,0.84,1.21,0.74,0.75
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,16.32%,24.31%,24.32%,30.83%,0.00%,12.41%,60.55%,
