Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,737","1,895","1,926","2,024","2,124","2,362","2,257","2,092","2,730","3,131","3,196","3,313","3,599"
Expenses+,"1,580","1,736","1,691","1,789","1,882","2,146","1,973","1,836","2,506","2,819","2,903","3,027","3,307"
Operating Profit,157,159,235,235,242,216,284,256,224,312,294,286,292
OPM %,9%,8%,12%,12%,11%,9%,13%,12%,8%,10%,9%,9%,8%
Other Income+,3,2,8,8,10,20,21,18,18,19,23,18,20
Interest,43,32,21,14,16,18,29,26,31,40,40,43,44
Depreciation,52,57,55,51,50,52,94,97,101,113,115,120,130
Profit before tax,66,71,168,178,187,166,182,150,109,177,161,141,139
Tax %,28%,28%,31%,30%,34%,29%,22%,25%,24%,24%,24%,24%,
Net Profit+,48,51,116,124,124,118,142,113,83,134,122,107,105
EPS in Rs,31.53,33.83,76.43,82.11,82.74,78.63,95.21,75.68,55.86,89.76,81.92,71.32,69.98
Dividend Payout %,13%,13%,9%,13%,16%,17%,16%,20%,27%,22%,24%,28%,
