Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,16,19,18,20,36,95,150,195,223
Interest,3,6,10,10,15,47,79,101,108
Expenses+,279,410,690,707,915,"1,076","1,260","1,576","1,597"
Financing Profit,-266,-396,-682,-697,-895,"-1,028","-1,189","-1,481","-1,481"
Financing Margin %,"-1,716%","-2,068%","-3,760%","-3,441%","-2,512%","-1,084%",-792%,-759%,-664%
Other Income+,215,352,673,771,973,"1,135","1,328","1,652","1,585"
Depreciation,16,18,24,54,35,42,53,62,0
Profit before tax,-67,-62,-32,20,43,65,86,108,104
Tax %,0%,0%,0%,0%,0%,0%,0%,15%,
Net Profit+,-67,-62,-32,20,43,65,86,93,80
EPS in Rs,-15.11,-13.99,-7.19,4.59,5.14,7.82,10.36,11.12,9.63
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,
