Metric,Jun 201415m,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,119,166,130,110,60,71,61,86,194,93,111,138,141
Expenses+,111,139,110,87,63,73,65,67,93,76,95,121,124
Operating Profit,8,28,20,23,-4,-2,-4,20,101,17,16,18,18
OPM %,7%,17%,16%,21%,-6%,-3%,-6%,23%,52%,18%,14%,13%,13%
Other Income+,25,4,8,-2,4,1,-30,0,-4,-4,1,2,2
Interest,27,24,15,19,10,7,20,26,20,12,5,2,2
Depreciation,9,11,9,10,11,7,8,8,17,14,13,7,7
Profit before tax,-3,-3,4,-8,-20,-15,-62,-14,59,-13,-1,11,11
Tax %,45%,31%,-5%,-19%,-5%,-59%,1%,-29%,35%,-0%,182%,29%,
Net Profit+,-5,-5,4,-7,-19,-6,-63,-10,38,-13,-3,8,8
EPS in Rs,-3.05,-2.29,1.67,-2.51,-6.14,-1.97,-21.10,-4.03,13.59,-4.30,-0.75,2.24,2.11
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
