Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"21,238","24,787","25,594","6,554","4,593","4,015","1,685",760,556,479,383,358,345
Expenses+,"14,575","17,593","18,342","6,937","27,673","8,771","33,771","6,378",618,498,394,369,374
Operating Profit,"6,663","7,194","7,252",-383,"-23,080","-4,756","-32,086","-5,618",-62,-19,-11,-11,-29
OPM %,31%,29%,28%,-6%,-502%,-118%,"-1,904%",-739%,-11%,-4%,-3%,-3%,-8%
Other Income+,"1,007",324,388,86,96,975,"-10,161",19,"-6,378","-14,585","-7,013","-9,211","-9,534"
Interest,"3,019","2,755","2,924",255,186,192,62,48,47,47,47,46,44
Depreciation,"4,535","3,817","4,484",821,721,820,354,155,151,136,127,117,116
Profit before tax,116,946,232,"-1,373","-23,891","-4,793","-42,663","-5,802","-6,638","-14,787","-7,198","-9,385","-9,723"
Tax %,-880%,34%,-184%,-7%,0%,51%,0%,0%,-0%,-0%,0%,0%,
Net Profit+,"1,139",623,660,"-1,283","-23,907","-7,218","-42,677","-5,812","-6,637","-14,784","-7,212","-9,389","-9,727"
EPS in Rs,5.07,2.87,2.57,-5.64,-86.20,-26.06,-154.30,-20.94,-23.94,-52.43,-26.08,-33.95,-35.18
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
