Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,10,13,16,18,20,24,48,58,71,93,124
Expenses+,9,14,16,21,23,24,45,55,67,94,112
Operating Profit,1,-1,-0,-2,-3,-0,3,3,5,-1,12
OPM %,7%,-11%,-2%,-12%,-14%,-2%,7%,5%,7%,-1%,10%
Other Income+,0,0,0,0,0,-0,1,1,0,13,9
Interest,0,1,2,3,4,5,3,1,1,1,1
Depreciation,4,4,4,4,4,4,4,5,5,6,6
Profit before tax,-4,-6,-7,-9,-10,-10,-4,-2,-1,5,14
Tax %,-33%,-31%,-27%,-22%,-18%,-25%,-25%,-25%,-2%,26%,
Net Profit+,-2,-4,-5,-7,-9,-7,-3,-2,-1,4,10
EPS in Rs,-0.60,-1.08,-1.27,-1.68,-2.10,-1.80,-0.73,-0.42,-0.21,0.98,2.54
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
