Metric,Mar 20146m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,679","3,952","4,507","3,916","3,790","5,050","5,882","5,426","5,499","6,399","6,218","6,422","6,226"
Expenses+,"1,595","3,679","4,157","3,510","3,481","4,761","5,537","4,956","5,165","5,926","5,671","5,824","5,696"
Operating Profit,84,273,349,407,309,289,345,469,335,473,548,598,530
OPM %,5%,7%,8%,10%,8%,6%,6%,9%,6%,7%,9%,9%,9%
Other Income+,30,47,76,93,56,65,31,52,13,12,-8,-54,48
Interest,23,51,66,58,34,45,61,64,88,91,84,56,58
Depreciation,34,83,76,75,81,82,101,101,101,104,101,102,115
Profit before tax,58,188,284,367,251,227,214,356,158,290,354,386,405
Tax %,33%,34%,33%,32%,33%,37%,30%,29%,27%,29%,28%,32%,
Net Profit+,39,123,190,248,168,144,149,253,115,206,255,264,281
EPS in Rs,5.74,16.03,25.13,32.94,21.40,19.42,19.65,33.71,14.80,26.72,33.14,33.89,35.55
Dividend Payout %,12%,12%,8%,9%,7%,33%,10%,9%,14%,11%,12%,15%,
