Metric,Mar 2009,Mar 2010,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,39,59,158,214,311,329,436,654,804,"1,024","1,267","1,275"
Expenses+,36,55,154,207,298,314,417,623,750,946,"1,162","1,161"
Operating Profit,3,4,5,7,13,15,19,31,55,78,105,114
OPM %,8%,6%,3%,3%,4%,4%,4%,5%,7%,8%,8%,9%
Other Income+,-0,-0,0,1,1,2,1,2,2,4,7,6
Interest,1,1,3,4,6,8,7,9,11,9,13,16
Depreciation,1,2,1,1,1,1,1,1,1,2,2,4
Profit before tax,1,1,2,3,7,8,11,22,45,72,97,100
Tax %,35%,27%,25%,31%,30%,24%,26%,25%,25%,25%,25%,
Net Profit+,0,1,1,2,5,6,9,16,33,54,72,75
EPS in Rs,,,1.90,3.04,5.64,6.22,8.43,14.57,26.35,42.34,56.89,58.50
Dividend Payout %,0%,0%,0%,0%,0%,8%,6%,3%,2%,0%,0%,
