Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,965,660,653,716,765,757,780,891,"1,039","1,207","1,709",562,428
Expenses+,906,571,546,610,631,630,635,709,837,978,"1,403",581,452
Operating Profit,59,89,107,106,134,126,144,183,202,229,306,-19,-24
OPM %,6%,13%,16%,15%,18%,17%,19%,21%,19%,19%,18%,-3%,-6%
Other Income+,-19,-31,1,15,16,120,33,23,37,7,476,305,264
Interest,117,117,106,88,28,92,107,100,96,92,104,3,-15
Depreciation,66,84,85,88,87,104,90,87,131,57,80,24,20
Profit before tax,-142,-143,-83,-55,36,50,-20,18,13,87,598,258,235
Tax %,-14%,-17%,-29%,-29%,39%,42%,7%,117%,117%,45%,10%,3%,
Net Profit+,-122,-119,-59,-39,22,29,-21,-3,-2,48,539,250,226
EPS in Rs,-29.79,-29.14,-14.33,-8.75,4.85,6.09,-3.59,-0.53,-0.36,8.06,91.18,41.32,37.26
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
