Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,266,494,720,856,"1,151","1,742","2,317","2,320","1,775"
Interest,137,254,338,375,496,643,791,844,676
Expenses+,182,172,290,437,676,638,949,"2,646","1,936"
Financing Profit,-53,68,93,43,-20,461,577,"-1,170",-837
Financing Margin %,-20%,14%,13%,5%,-2%,26%,25%,-50%,-47%
Other Income+,1,3,10,17,50,58,96,49,62
Depreciation,2,2,3,4,5,7,9,12,11
Profit before tax,-54,68,100,57,24,512,663,"-1,133",-786
Tax %,-26%,26%,30%,23%,11%,24%,24%,8%,
Net Profit+,-39,51,70,44,22,387,505,"-1,225",-998
EPS in Rs,-5.70,4.81,5.14,3.25,1.61,23.97,31.17,-75.54,-61.59
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,
