Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,528","1,475","1,668","2,059","2,362","1,861","1,395","1,264","3,616","3,594"
Expenses+,"1,633","1,394","1,769","1,914","2,313","1,753","1,549","1,582","3,676","3,650"
Operating Profit,-105,81,-100,144,50,107,-154,-318,-60,-55
OPM %,-7%,6%,-6%,7%,2%,6%,-11%,-25%,-2%,-2%
Other Income+,541,327,336,184,161,255,53,43,138,160
Interest,153,153,106,141,160,192,210,241,224,222
Depreciation,17,25,37,42,42,51,50,53,69,70
Profit before tax,266,231,93,146,9,119,-360,-569,-215,-187
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,
Net Profit+,266,231,93,146,9,119,-360,-569,-215,-187
EPS in Rs,4.76,3.03,1.03,1.58,0.10,1.27,-3.79,-5.92,-2.24,-1.95
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,
