Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,799,772,626,591,660,426,418,401
Expenses+,740,737,619,540,586,351,348,343
Operating Profit,59,35,7,51,75,75,70,58
OPM %,7%,5%,1%,9%,11%,18%,17%,14%
Other Income+,6,6,16,14,17,-9,-4,2
Interest,14,33,27,24,31,28,29,25
Depreciation,18,42,39,34,38,28,29,28
Profit before tax,33,-34,-43,8,23,10,8,7
Tax %,36%,-8%,-24%,17%,22%,38%,34%,
Net Profit+,21,-31,-33,6,17,6,5,5
EPS in Rs,11.76,-17.37,-18.30,3.58,9.71,3.47,2.75,2.50
Dividend Payout %,8%,0%,0%,0%,0%,0%,0%,
