Metric,Mar 2014,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,805,"1,061",907,903,"1,227","1,366","1,140",964,976
Expenses+,715,923,811,783,959,"1,068",938,819,820
Operating Profit,90,138,96,120,268,298,201,145,156
OPM %,11%,13%,11%,13%,22%,22%,18%,15%,16%
Other Income+,2,2,32,44,3,15,9,22,22
Interest,15,18,18,8,6,6,6,8,8
Depreciation,17,30,35,37,37,39,42,44,45
Profit before tax,60,92,74,119,229,268,163,114,126
Tax %,28%,24%,16%,23%,26%,24%,24%,23%,
Net Profit+,44,70,63,91,169,205,125,88,98
EPS in Rs,19.30,15.42,13.88,20.21,37.40,45.40,27.63,19.50,21.63
Dividend Payout %,11%,8%,0%,16%,24%,31%,51%,73%,
