Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,092","1,163","1,124","1,172","1,264","1,427","1,270",887,"1,380","2,098","1,801","1,541","1,549"
Expenses+,"1,030","1,068",992,"1,002","1,038","1,047",965,826,"1,156","1,359","1,368","1,402","1,473"
Operating Profit,61,95,131,170,226,380,304,61,224,738,432,139,75
OPM %,6%,8%,12%,15%,18%,27%,24%,7%,16%,35%,24%,9%,5%
Other Income+,13,12,39,-22,-7,7,13,11,42,33,94,84,70
Interest,43,45,40,34,26,9,5,5,5,7,4,18,22
Depreciation,87,69,73,70,66,68,76,73,72,63,66,88,99
Profit before tax,-56,-6,56,44,126,311,236,-6,188,701,456,117,25
Tax %,-26%,-104%,35%,27%,34%,36%,10%,-26%,26%,25%,25%,24%,
Net Profit+,-42,0,37,32,83,200,213,-5,140,522,340,89,21
EPS in Rs,-2.09,0.01,1.85,1.63,4.18,10.06,10.70,-0.23,7.03,26.27,17.08,4.47,1.03
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,-432%,21%,10%,12%,22%,
