Metric,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,102,159,192,192,286,24,26,29,45,141,190,211
Expenses+,76,131,162,162,247,8,9,15,34,116,148,171
Operating Profit,26,28,31,30,39,16,17,13,11,25,41,40
OPM %,25%,18%,16%,16%,14%,66%,66%,46%,25%,18%,22%,19%
Other Income+,5,13,1,6,-4,11,17,25,5,27,3,-24
Interest,3,6,8,11,15,10,18,22,35,34,29,29
Depreciation,7,19,17,19,21,4,5,8,19,22,20,24
Profit before tax,20,15,6,5,-2,14,10,8,-38,-5,-4,-37
Tax %,32%,27%,-164%,-8%,-260%,27%,21%,37%,-6%,-138%,11%,-53%
Net Profit+,14,11,17,5,4,10,8,5,-35,2,-5,-18
EPS in Rs,,,,,,3.52,2.72,1.71,-11.78,0.55,-1.32,-5.14
Dividend Payout %,31%,30%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%
