Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,21.97,30.53,34.45,37.00,47.50,61.46,58.14,34.61,49.48,49.74,64.68,64.50
Expenses+,21.12,29.35,33.02,35.43,45.87,59.00,55.90,32.61,47.46,47.22,59.10,59.18
Operating Profit,0.85,1.18,1.43,1.57,1.63,2.46,2.24,2.00,2.02,2.52,5.58,5.32
OPM %,3.87%,3.87%,4.15%,4.24%,3.43%,4.00%,3.85%,5.78%,4.08%,5.07%,8.63%,8.25%
Other Income+,0.02,0.02,0.02,0.07,0.28,0.03,0.04,0.06,0.05,0.07,0.66,0.98
Interest,0.43,0.70,0.75,0.82,0.70,1.03,0.85,0.82,0.86,0.96,0.84,0.85
Depreciation,0.27,0.27,0.30,0.28,0.54,0.40,0.42,0.37,0.32,0.28,0.24,0.23
Profit before tax,0.17,0.23,0.40,0.54,0.67,1.06,1.01,0.87,0.89,1.35,5.16,5.22
Tax %,17.65%,21.74%,25.00%,25.93%,25.37%,25.47%,32.67%,31.03%,26.97%,24.44%,20.74%,
Net Profit+,0.14,0.19,0.30,0.40,0.50,0.79,0.68,0.61,0.65,1.02,4.09,4.09
EPS in Rs,0.22,0.21,0.33,0.15,0.13,0.21,0.18,0.16,0.17,0.27,1.08,1.08
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,15.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
