Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,372,371,453,512,364,355,510,772,932,"1,026",937
Expenses+,311,295,362,426,304,293,444,674,824,916,837
Operating Profit,61,76,91,86,60,62,66,98,108,110,100
OPM %,16%,20%,20%,17%,17%,17%,13%,13%,12%,11%,11%
Other Income+,1,7,6,7,6,2,3,6,7,11,13
Interest,6,6,4,4,6,8,7,9,9,10,10
Depreciation,13,17,18,19,24,26,27,32,33,35,37
Profit before tax,43,60,75,70,36,30,35,63,72,77,65
Tax %,35%,35%,35%,35%,15%,23%,27%,24%,23%,24%,
Net Profit+,28,39,49,45,30,24,26,48,55,58,49
EPS in Rs,8.20,11.43,13.62,12.52,8.47,6.53,7.09,13.29,15.37,16.11,13.54
Dividend Payout %,37%,17%,7%,16%,24%,15%,14%,15%,13%,12%,
