Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0,341,385,476,617,709,669,780,779
Expenses+,0,302,347,418,539,626,562,659,678
Operating Profit,0,39,38,59,77,83,107,121,101
OPM %,,11%,10%,12%,13%,12%,16%,16%,13%
Other Income+,0,5,4,2,3,22,16,9,9
Interest,0,0,2,2,2,3,4,7,6
Depreciation,0,5,6,8,11,12,10,11,12
Profit before tax,0,38,34,51,67,89,110,112,92
Tax %,,25%,28%,30%,30%,20%,18%,26%,
Net Profit+,0,29,25,36,47,71,90,83,68
EPS in Rs,0.00,"28,550.00",12.12,14.97,19.57,29.81,37.48,34.74,28.43
Dividend Payout %,,9%,10%,8%,6%,4%,5%,7%,
