Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,886,874,"1,321","1,364","1,392","1,408","1,456"
Expenses+,799,752,"1,152","1,174","1,221","1,233","1,269"
Operating Profit,86,122,169,190,171,175,187
OPM %,10%,14%,13%,14%,12%,12%,13%
Other Income+,13,3,17,29,30,10,11
Interest,33,30,25,16,11,9,9
Depreciation,35,34,35,36,39,41,42
Profit before tax,32,61,127,167,151,136,147
Tax %,31%,25%,27%,26%,26%,34%,
Net Profit+,22,45,92,123,111,89,99
EPS in Rs,4.38,9.09,11.90,13.54,12.24,9.81,10.84
Dividend Payout %,0%,0%,0%,7%,8%,10%,
