Metric,Mar 2010,Mar 2011,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,76,95,109,119,158,193,187,204,324,470,509,508,519
Expenses+,66,85,95,100,132,158,166,168,251,361,403,405,407
Operating Profit,11,10,14,19,26,36,21,36,73,109,106,104,112
OPM %,14%,11%,13%,16%,16%,18%,11%,18%,23%,23%,21%,20%,22%
Other Income+,1,2,0,2,5,7,5,6,9,11,22,14,14
Interest,3,4,4,3,3,4,3,2,3,7,5,4,4
Depreciation,2,3,4,5,5,5,6,6,6,11,12,12,12
Profit before tax,7,5,6,14,23,34,17,34,73,102,112,103,110
Tax %,28%,50%,42%,40%,27%,29%,22%,26%,25%,23%,25%,25%,
Net Profit+,5,3,3,8,17,25,13,25,55,79,84,77,82
EPS in Rs,0.82,0.47,0.58,1.43,2.87,4.28,2.34,4.43,9.57,13.73,14.63,13.38,14.23
Dividend Payout %,18%,42%,0%,12%,14%,9%,9%,9%,7%,9%,12%,20%,
