Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,876,"1,195","1,400","1,555","1,277","1,267","1,742","2,354","2,239","3,406","3,539"
Expenses+,797,"1,106","1,273","1,438","1,230","1,236","1,667","2,171","2,092","3,122","3,240"
Operating Profit,79,89,127,117,47,31,75,184,147,284,298
OPM %,9%,7%,9%,8%,4%,2%,4%,8%,7%,8%,8%
Other Income+,-2,11,9,10,12,7,52,6,-101,2,-0
Interest,19,30,34,35,38,28,21,35,57,76,71
Depreciation,41,57,61,66,66,66,81,97,91,132,141
Profit before tax,17,13,40,26,-45,-55,26,58,-103,78,87
Tax %,27%,66%,40%,91%,2%,10%,58%,49%,-103%,52%,
Net Profit+,13,4,24,2,-46,-61,11,30,3,38,47
EPS in Rs,12.05,4.11,20.87,2.02,-36.26,-41.98,6.55,18.46,1.86,23.15,18.72
Dividend Payout %,37%,146%,58%,420%,0%,0%,0%,0%,0%,35%,
