Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,259,354,418,481,566,488,514,605,689,869,"1,136","1,205"
Expenses+,232,325,381,439,531,463,494,577,657,814,"1,073","1,129"
Operating Profit,28,30,37,42,36,25,20,27,32,56,64,75
OPM %,11%,8%,9%,9%,6%,5%,4%,5%,5%,6%,6%,6%
Other Income+,3,1,2,1,4,4,2,3,8,7,5,5
Interest,18,20,19,18,14,20,13,20,27,39,32,38
Depreciation,3,3,3,3,2,2,2,2,3,1,1,1
Profit before tax,10,7,18,22,23,7,8,9,11,22,36,41
Tax %,21%,22%,27%,24%,23%,18%,34%,28%,27%,23%,26%,
Net Profit+,8,6,13,17,18,6,5,3,8,17,27,31
EPS in Rs,0.23,0.16,0.19,0.18,0.20,0.06,0.06,0.04,0.07,0.14,0.22,0.26
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
