Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,509,513,670,928,909,890,"1,270","1,583","1,506","1,540","1,445"
Expenses+,426,433,567,783,784,746,"1,090","1,350","1,309","1,329","1,231"
Operating Profit,82,80,103,145,124,144,181,233,197,211,214
OPM %,16%,16%,15%,16%,14%,16%,14%,15%,13%,14%,15%
Other Income+,0,3,3,0,1,2,1,1,2,3,3
Interest,16,13,7,8,14,9,11,11,12,12,13
Depreciation,27,24,25,35,42,41,50,49,53,57,61
Profit before tax,39,47,74,103,70,96,121,175,135,144,143
Tax %,34%,37%,31%,36%,24%,26%,26%,25%,26%,26%,
Net Profit+,26,30,51,66,53,71,89,130,100,107,105
EPS in Rs,8.56,6.89,11.86,15.35,12.29,16.46,20.69,30.35,23.28,24.94,24.47
Dividend Payout %,0%,0%,8%,9%,0%,15%,12%,10%,9%,12%,
