Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,471,365,741,"1,056","1,393","2,014","2,217","2,610","3,751","4,622","5,378","5,056","5,010"
Expenses+,420,321,663,932,"1,185","1,710","1,864","2,125","3,040","3,727","4,315","3,998","4,005"
Operating Profit,51,44,78,124,208,305,353,484,711,895,"1,064","1,058","1,005"
OPM %,11%,12%,11%,12%,15%,15%,16%,19%,19%,19%,20%,21%,20%
Other Income+,2,3,2,3,5,14,14,6,6,19,34,32,30
Interest,14,16,16,19,40,49,60,94,118,154,217,265,302
Depreciation,13,17,18,26,54,75,76,84,85,96,141,144,145
Profit before tax,26,14,46,83,119,194,231,312,515,665,740,681,588
Tax %,33%,32%,35%,36%,29%,34%,28%,24%,26%,26%,27%,26%,
Net Profit+,17,9,30,53,84,127,167,237,380,493,539,505,442
EPS in Rs,11.26,6.05,16.75,29.64,12.93,19.54,25.57,36.31,58.31,75.68,82.64,77.56,67.77
Dividend Payout %,-0%,-0%,-0%,-0%,4%,3%,-0%,2%,2%,2%,2%,3%,
