Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,720,670,616,824,"1,064",865,"1,007","3,017","4,057","4,227","4,293","4,331"
Expenses+,656,604,565,738,938,833,896,"2,721","3,693","3,779","3,598","3,570"
Operating Profit,65,66,52,86,125,32,111,296,364,448,694,761
OPM %,9%,10%,8%,10%,12%,4%,11%,10%,9%,11%,16%,18%
Other Income+,1,3,1,5,5,1,2,54,3,7,16,32
Interest,12,7,6,7,6,6,10,20,27,28,22,25
Depreciation,17,18,17,15,14,14,16,92,100,116,120,125
Profit before tax,37,44,30,69,110,13,88,237,240,311,568,643
Tax %,8%,5%,11%,29%,35%,42%,35%,26%,41%,28%,29%,
Net Profit+,34,46,38,63,104,22,81,176,141,225,401,493
EPS in Rs,4.17,5.62,4.65,7.71,12.83,2.76,10.01,21.62,5.84,9.34,16.61,20.42
Dividend Payout %,0%,0%,0%,3%,2%,0%,0%,0%,0%,11%,8%,
