Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,983,"1,074",11,19,22,16,20,31,43,63,64
Expenses+,909,998,3,4,6,6,4,6,6,7,35
Operating Profit,74,77,8,14,16,11,16,26,36,56,29
OPM %,8%,7%,71%,76%,73%,65%,78%,82%,85%,89%,45%
Other Income+,4,2,184,134,214,347,248,319,543,247,82
Interest,2,0,0,0,0,0,0,0,0,0,0
Depreciation,16,15,0,0,1,1,1,1,0,0,0
Profit before tax,59,63,192,148,230,357,264,344,579,302,111
Tax %,29%,32%,17%,14%,37%,25%,25%,25%,25%,26%,
Net Profit+,132,135,160,126,144,267,198,259,434,222,78
EPS in Rs,35.09,35.92,42.42,33.57,38.31,70.89,52.50,68.84,115.15,59.01,20.75
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
