Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,711,713,813,859,872,"1,073","1,074","1,081"
Expenses+,526,515,567,596,613,878,855,852
Operating Profit,185,197,246,263,259,195,219,229
OPM %,26%,28%,30%,31%,30%,18%,20%,21%
Other Income+,37,36,20,32,38,30,32,31
Interest,7,7,13,23,27,35,30,29
Depreciation,23,26,27,33,53,59,63,64
Profit before tax,191,200,226,239,217,131,157,167
Tax %,32%,21%,26%,26%,28%,30%,29%,
Net Profit+,131,158,166,177,156,92,111,119
EPS in Rs,6.97,8.44,8.88,9.43,8.34,4.90,5.92,6.32
Dividend Payout %,31%,30%,31%,33%,40%,29%,25%,
