Metric,Sep 2013,Dec 201415m,Mar 201615m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,342","1,399","1,485","1,191","1,344","1,165","1,161","1,469","1,478","1,482","1,355","1,446","1,460"
Expenses+,"1,398","1,452","1,379","1,022","1,301","1,050","1,109","1,372","1,373","1,405","1,265","1,324","1,353"
Operating Profit,-57,-52,106,169,43,115,52,96,105,77,90,122,107
OPM %,-4%,-4%,7%,14%,3%,10%,4%,7%,7%,5%,7%,8%,7%
Other Income+,30,9,10,356,27,11,17,92,-2,2,28,70,71
Interest,91,77,77,51,38,24,27,35,26,28,30,30,28
Depreciation,50,61,38,30,24,33,56,48,40,36,35,34,33
Profit before tax,-168,-181,1,443,7,69,-13,105,38,15,53,129,117
Tax %,1%,0%,0%,19%,-33%,41%,521%,31%,31%,14%,29%,15%,
Net Profit+,-170,-181,1,359,10,40,-83,73,26,13,38,109,100
EPS in Rs,-43.15,-46.37,0.20,91.78,2.49,10.32,-21.19,18.73,6.69,3.36,9.62,27.97,25.69
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,16%,45%,89%,42%,14%,
