Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,202,227,287,305,223,229,205,75,53,58,47,50,43
Expenses+,159,180,228,274,394,200,172,88,63,84,55,52,48
Operating Profit,42,47,59,31,-171,29,33,-13,-10,-25,-8,-1,-5
OPM %,21%,21%,20%,10%,-77%,13%,16%,-17%,-19%,-44%,-16%,-2%,-11%
Other Income+,2,7,8,13,14,20,-5,38,13,-18,4,4,2
Interest,0,4,3,14,23,20,24,17,11,9,12,13,12
Depreciation,13,9,16,19,21,18,43,26,15,11,10,9,8
Profit before tax,32,41,48,11,-202,11,-39,-18,-23,-63,-26,-20,-22
Tax %,35%,29%,32%,46%,-35%,20%,18%,69%,12%,-4%,5%,55%,
Net Profit+,21,29,32,6,-132,9,-46,-30,-26,-61,-28,-31,-33
EPS in Rs,5.29,7.47,8.12,1.47,-18.36,1.26,-6.36,-4.19,-3.53,-8.41,-3.83,-4.29,-4.60
Dividend Payout %,43%,35%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
