Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"5,945","6,075","7,828","11,094","11,289","9,871","10,325","9,936","12,070","16,165","13,001","15,322","16,251"
Expenses+,"4,013","4,535","5,334","5,998","7,401","7,614","7,039","7,320","8,119","10,425","9,564","10,575","12,021"
Operating Profit,"1,932","1,540","2,494","5,097","3,887","2,257","3,286","2,616","3,951","5,740","3,438","4,747","4,231"
OPM %,32%,25%,32%,46%,34%,23%,32%,26%,33%,36%,26%,31%,26%
Other Income+,976,"1,434",-412,"-1,176",713,"2,125","1,568","2,531","1,544",-872,"2,118","1,766","2,301"
Interest,182,150,467,588,548,700,"1,174","1,313",984,"1,012",849,932,"1,150"
Depreciation,517,441,910,"1,044","1,232","1,121","1,334","1,611","1,909","1,801","1,825","1,884","2,126"
Profit before tax,"2,209","2,383",705,"2,289","2,821","2,561","2,345","2,223","2,603","2,056","2,882","3,697","3,257"
Tax %,32%,34%,90%,-7%,31%,40%,38%,41%,57%,31%,35%,27%,
Net Profit+,"1,502","1,580",68,"2,457","1,957","1,537","1,453","1,314","1,116","1,426","1,868","2,714","2,728"
EPS in Rs,8.95,9.42,0.51,16.01,12.71,10.87,10.39,9.24,7.88,10.07,13.37,18.90,18.85
Dividend Payout %,31%,30%,588%,46%,35%,42%,68%,27%,19%,35%,22%,16%,
