Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,3.60,3.86,2.58,2.53,1.75,0.00,0.09,1.00,0.69,0.39,1.22,1.15,0.76
Expenses+,2.29,3.08,2.20,2.12,2.06,0.86,0.50,1.33,1.70,8.04,13.22,5.30,5.06
Operating Profit,1.31,0.78,0.38,0.41,-0.31,-0.86,-0.41,-0.33,-1.01,-7.65,-12.00,-4.15,-4.30
OPM %,36.39%,20.21%,14.73%,16.21%,-17.71%,,-455.56%,-33.00%,-146.38%,"-1,961.54%",-983.61%,-360.87%,-565.79%
Other Income+,2.40,0.76,0.66,0.70,0.94,1.09,0.91,0.87,0.90,0.26,0.40,0.59,0.64
Interest,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Profit before tax,3.71,1.50,1.04,1.11,0.63,0.23,0.50,0.54,-0.11,-7.39,-11.60,-3.56,-3.66
Tax %,29.65%,24.67%,17.31%,22.52%,15.87%,21.74%,24.00%,24.07%,-36.36%,-11.50%,1.12%,4.49%,
Net Profit+,2.60,1.14,0.86,0.85,0.53,0.17,0.38,0.40,-0.08,-6.54,-11.72,-3.72,-3.80
EPS in Rs,0.19,0.08,0.06,0.06,0.04,0.01,0.03,0.03,-0.01,-0.49,-0.87,-0.28,-0.28
Dividend Payout %,36.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
