Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,224,231,244,260,286,358,359,386,480,666,762,883,931
Expenses+,201,205,208,227,246,299,298,321,401,557,625,737,774
Operating Profit,23,26,36,33,40,59,61,64,79,108,137,146,157
OPM %,10%,11%,15%,13%,14%,17%,17%,17%,16%,16%,18%,17%,17%
Other Income+,1,2,2,2,2,2,4,4,11,9,7,17,17
Interest,4,4,4,5,5,5,5,3,3,2,4,8,10
Depreciation,2,1,1,1,3,4,7,7,7,10,12,13,13
Profit before tax,19,23,33,29,34,52,53,58,80,105,128,142,151
Tax %,21%,23%,34%,30%,28%,27%,26%,22%,21%,22%,25%,23%,
Net Profit+,15,17,22,20,24,38,39,45,63,82,96,109,116
EPS in Rs,1.17,1.29,1.42,1.31,1.67,2.78,2.94,3.47,4.79,6.21,7.25,8.21,8.72
Dividend Payout %,17%,16%,17%,18%,16%,11%,12%,11%,9%,9%,8%,9%,
