Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,35,40,41,58,72,53,48,54,68,83,95,99,109
Expenses+,35,41,41,57,68,50,43,49,63,78,87,89,99
Operating Profit,-0,-1,-0,1,4,3,5,6,5,6,8,9,9
OPM %,-0%,-3%,-1%,2%,6%,5%,10%,10%,7%,7%,9%,10%,9%
Other Income+,16,4,1,9,2,2,0,0,0,0,0,1,1
Interest,0,0,0,1,0,0,0,0,1,1,1,2,1
Depreciation,1,0,0,0,0,0,0,0,1,1,1,2,2
Profit before tax,15,2,0,9,6,4,4,5,3,4,6,7,7
Tax %,0%,0%,0%,0%,-78%,16%,82%,25%,25%,25%,25%,25%,
Net Profit+,15,2,0,9,11,3,1,4,3,3,5,5,5
EPS in Rs,0.96,0.09,0.02,0.42,0.46,0.13,0.03,0.16,0.11,0.13,0.20,0.22,0.24
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
