Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,368,650,572,432,433,674,865,823,912
Expenses+,367,652,582,415,358,631,784,794,857
Operating Profit,1,-2,-10,17,74,43,81,30,55
OPM %,0%,-0%,-2%,4%,17%,6%,9%,4%,6%
Other Income+,408,203,63,73,87,142,123,173,138
Interest,94,113,128,129,122,106,118,105,100
Depreciation,2,5,6,7,7,8,9,10,10
Profit before tax,312,83,-82,-45,33,72,76,88,82
Tax %,-10%,41%,6%,51%,45%,5%,1%,12%,
Net Profit+,343,49,-86,-68,18,68,75,77,80
EPS in Rs,23.15,3.39,-5.80,-4.60,0.58,3.88,4.43,4.53,4.71
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,
