Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,467,532,440,442,421,695,746,709,895,"1,080","1,031",865,805
Expenses+,405,390,322,343,342,570,635,648,781,970,931,784,734
Operating Profit,62,143,118,99,80,125,112,61,114,111,101,82,71
OPM %,13%,27%,27%,22%,19%,18%,15%,9%,13%,10%,10%,9%,9%
Other Income+,13,-8,34,42,40,-10,19,41,46,33,50,67,87
Interest,13,11,9,7,5,9,9,8,7,8,8,8,8
Depreciation,28,41,39,37,45,78,86,79,92,75,82,57,55
Profit before tax,35,83,103,97,69,28,35,15,61,60,60,83,95
Tax %,62%,44%,34%,31%,33%,75%,28%,105%,24%,23%,33%,35%,
Net Profit+,13,46,69,67,46,7,26,-1,46,46,40,54,61
EPS in Rs,320.87,5.67,7.25,7.02,4.86,1.21,3.68,0.24,4.84,4.87,4.25,5.70,6.45
Dividend Payout %,3%,1%,14%,21%,21%,82%,26%,415%,23%,21%,24%,18%,
