Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,57,46,47,64,70,78,69,85,100,124,164,171,178
Expenses+,54,42,42,57,61,68,64,82,96,117,150,160,170
Operating Profit,3,3,5,6,9,10,5,3,4,7,14,10,8
OPM %,5%,7%,10%,10%,12%,12%,7%,3%,4%,6%,8%,6%,5%
Other Income+,0,0,1,0,0,1,2,1,1,7,2,13,13
Interest,1,1,1,2,2,2,1,1,1,1,1,3,3
Depreciation,1,1,1,1,2,2,2,2,2,1,1,3,3
Profit before tax,2,2,3,4,6,7,4,0,2,11,12,18,16
Tax %,27%,28%,36%,33%,28%,35%,-1%,860%,104%,20%,24%,18%,
Net Profit+,1,1,2,3,4,4,4,-0,-0,9,9,15,13
EPS in Rs,2.12,2.44,3.96,0.74,0.69,0.79,0.67,-0.06,0.02,1.62,1.65,2.64,2.39
Dividend Payout %,7%,8%,6%,7%,7%,6%,7%,0%,425%,6%,6%,4%,
