Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,105,108,107,121,122,117,131,136,150,196,178,208,220
Expenses+,144,99,92,107,112,109,114,124,148,182,163,176,183
Operating Profit,-39,9,15,14,11,8,17,12,2,15,15,32,37
OPM %,-37%,8%,14%,12%,9%,7%,13%,9%,1%,7%,9%,15%,17%
Other Income+,107,3,15,1,1,0,5,0,0,0,1,0,2
Interest,6,6,7,7,5,4,3,1,1,1,1,1,2
Depreciation,21,16,14,12,11,9,9,8,7,6,6,9,10
Profit before tax,40,-11,9,-4,-4,-4,11,3,-5,7,10,22,28
Tax %,17%,-24%,-20%,-40%,-37%,-32%,-97%,-0%,-0%,29%,-0%,-135%,
Net Profit+,33,-8,11,-2,-3,-3,21,3,-5,5,10,51,54
EPS in Rs,,,,,,,,0.26,-0.37,0.38,0.75,3.84,4.08
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,
