Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,97,142,150,148,165,228,200,147,223,301,300,260,272
Expenses+,90,133,141,137,158,216,198,144,212,272,270,259,273
Operating Profit,7,9,9,11,7,12,3,3,11,29,30,1,-1
OPM %,7%,6%,6%,8%,4%,5%,1%,2%,5%,10%,10%,0%,-0%
Other Income+,1,1,7,1,4,5,26,3,3,193,4,10,11
Interest,0,1,1,2,1,3,1,2,3,4,3,2,1
Depreciation,2,2,2,2,2,3,3,3,3,3,4,5,5
Profit before tax,6,7,14,9,7,11,25,2,8,214,26,5,4
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,29%,
Net Profit+,6,7,14,9,7,11,25,2,8,214,25,3,3
EPS in Rs,,,,,,,,,,,,,
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
