Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,560,693,700,840,970,904,589,548,818,"1,051","1,067","1,289","1,585"
Expenses+,531,661,670,803,905,853,553,521,785,"1,005","1,006","1,213","1,499"
Operating Profit,29,32,30,37,65,50,36,27,32,46,61,75,86
OPM %,5%,5%,4%,4%,7%,6%,6%,5%,4%,4%,6%,6%,5%
Other Income+,0,2,2,1,1,5,2,2,5,4,5,4,6
Interest,6,6,5,4,3,3,3,4,4,4,8,9,10
Depreciation,14,16,17,17,19,21,22,18,18,17,24,26,30
Profit before tax,9,11,10,17,44,31,12,7,16,30,34,44,51
Tax %,26%,29%,27%,28%,35%,31%,-2%,28%,25%,27%,25%,26%,
Net Profit+,7,8,7,12,28,21,13,5,12,22,25,33,38
EPS in Rs,1.07,1.29,1.15,1.94,4.49,3.41,1.99,0.77,1.90,3.43,3.99,5.21,6.06
Dividend Payout %,37%,35%,39%,23%,11%,15%,13%,33%,21%,20%,20%,21%,
