Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,890,904,"1,086","1,475","1,541","1,770","1,789"
Expenses+,764,770,931,"1,239","1,290","1,476","1,497"
Operating Profit,126,133,155,236,252,294,292
OPM %,14%,15%,14%,16%,16%,17%,16%
Other Income+,2,3,3,27,10,14,19
Interest,37,37,34,48,56,58,73
Depreciation,48,52,56,64,72,75,76
Profit before tax,42,47,68,152,135,174,161
Tax %,14%,29%,31%,27%,26%,18%,
Net Profit+,37,33,47,110,99,143,134
EPS in Rs,40.13,36.78,52.03,122.05,109.22,157.15,146.82
Dividend Payout %,10%,20%,19%,16%,20%,19%,
