Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,785","1,645","1,544","2,013","2,555","2,995","3,601","3,710"
Expenses+,"1,559","1,436","1,362","1,847","2,325","2,694","3,169","3,239"
Operating Profit,226,209,182,166,231,301,432,471
OPM %,13%,13%,12%,8%,9%,10%,12%,13%
Other Income+,12,7,24,11,11,27,18,22
Interest,20,20,11,8,11,29,34,39
Depreciation,37,52,52,56,61,69,89,102
Profit before tax,181,144,143,113,170,230,327,353
Tax %,33%,18%,26%,27%,28%,24%,24%,
Net Profit+,114,107,106,83,123,174,248,269
EPS in Rs,25.58,21.03,5.22,4.11,6.24,8.81,12.56,13.66
Dividend Payout %,0%,2%,0%,0%,0%,11%,12%,
