Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"8,641","10,348","11,680","9,960","11,512","13,151","13,641","12,173","14,258","25,694","27,183","29,165","28,038"
Expenses+,"7,310","8,246","8,681","7,487","8,364","9,934","10,045","8,695","10,643","20,906","22,587","23,844","23,105"
Operating Profit,"1,331","2,103","2,999","2,472","3,148","3,217","3,596","3,477","3,615","4,789","4,596","5,322","4,932"
OPM %,15%,20%,26%,25%,27%,24%,26%,29%,25%,19%,17%,18%,18%
Other Income+,233,320,337,179,232,172,-862,130,"-1,089",352,307,473,516
Interest,705,962,"1,131","1,058",848,899,955,776,628,818,943,"1,045",997
Depreciation,585,720,916,"1,006","1,132","1,227","1,304","1,280","1,334","1,281","1,378","1,497","1,528"
Profit before tax,275,740,"1,290",587,"1,401","1,264",475,"1,552",564,"3,041","2,583","3,253","2,923"
Tax %,61%,51%,30%,27%,32%,28%,-148%,16%,19%,29%,27%,6%,
Net Profit+,108,363,902,430,952,904,"1,179","1,296",459,"2,165","1,896","3,059","2,804"
EPS in Rs,2.23,7.61,18.73,8.92,19.61,18.70,24.43,26.86,9.45,44.06,38.14,59.31,55.00
Dividend Payout %,22%,20%,24%,25%,26%,27%,47%,41%,95%,59%,42%,32%,
